"","textOriginal","hard_marker","easy_marker","authorDisplayName"
"6167","you are the best  thank you",NA,NA,"JUAN JOSE LLANOS"
"6168","thank you",NA,NA,"funny videos subban"
"6169","Could you please show us how to play your man by josh turner",NA,NA,"Tammy Cook"
"6170","Your the best!",NA,NA,"Zach Ginkel"
"6171","Hey Marty, I️ appreciate the song but I’d like to know the hard electric version with the solo. Have a good kne","hard",NA,"Russellkirky"
"6172","Please teach us - ""and I love you so "" will be waiting for the lesson",NA,NA,"Shashank Rai"
"6173","you changed your style on showing how to play I like it when you teach this way thanks marty",NA,NA,"reuben vargas"
"6174","I love the way you teach.  It's so playful.  :)",NA,NA,"Vedia Lupae"
"6175","Love all your videos Marty, you are one of the best I've seen on YouTube. Could you do a lesson for lipstick promises by George Duccus",NA,NA,"rob Stewart"
"6176","What strings are you playing at the Am in the chorus? it lookes like maybe G and B between A? Thank you, this is great",NA,NA,"Deanna A"
"6177","I think your teaching is amazing, because you know what to do on the guitar, because you know all the guitar chords. You would be a great guitar teacher if you'd ever teach at school.",NA,NA,"Joseph Salinas Jr."
"6178","Thanks Marty I'm 57 and just took up playing the guitar. I love this channel and all the beginner stuff.",NA,NA,"Tom Kila"
"6179","Ben Howard - Old Pine",NA,NA,"Peter Martin"
"6180","I got the original acoustic live audio but with no video sorry bout that. https://youtu.be/vDmZUtg4J9Q",NA,NA,"Luna Sol"
"6181","Marty is the best",NA,NA,"Austin Powers"
"6182","MARTY DO THE SOLO PLZZZ!!!!",NA,NA,"Linda Mena"
"6183","Hey Marty I’m a big fan I’ve learnt most of my songs from you can you please teach use how to play “it’s been awhile” by staind that would be great thanks",NA,NA,"Riley Greene"
"6184","please...please...PLEASE...I need a ""Me and Bobby McGee"" tutorial. Did I say, Please?",NA,NA,"Jason Cantu"
"6185","I don't have a capo 😞😞",NA,NA,"Compton CA"
"6186","Can you show how to pick it please?",NA,NA,"Gavin Wallen"
"6187","awsome playing i play 6 and 12 want new old 80 songs anything you know all is good any band from then
you learned me some good ones already your easy to follow thanks for that your fantastic you sing you show examples everything i was looking for thanks again ill follow you as best as i can",NA,NA,"margaret vienneau"
"6188","Anyone know the picking pattern he’s doing?",NA,NA,"Sarah MIller"
"6189","Thank you so much. Great lesson.",NA,NA,"Saadi Shirazi"
"6190","Marty excellent tutorial u are the man can u do Ruby soho by some British punk band thanks captain 👩‍✈️ Marty",NA,NA,"Bob Greenhouse"
"6191","Great tutorial, ""A"" standard like many of your others. Without a doubt you are one of the best teachers on the web at the moment. Thank You !  One very small piece of constructive criticism.... In some of your breakdowns you miss some small but crucial info without which it doesn't quite sound ""like your's"" when I play it.  In the case of this breakdown, it's the Am walk-down in the chorus. You spell out the strings&frets  to finger-pick, but what you actually play in the video is a little more complex.  You are clearly finger picking those notes, but a the same time you appear to be throwing in some small strums. So it sounds like both the rhythm of the strumming is being maintained during the walk-down, but also a solo finger-picking is being played. You may not even realize you are doing it.",NA,NA,"Richard M"
"6192","Hotel California but the electric solo",NA,NA,"Ryan Quinones"
"6193","what happen to guitar jamz ?",NA,NA,"Kenneth Wong"
"6194","Gaun yersel Marty auld neeber",NA,NA,"Peter Wishart"
"6195","I have learnt so many songs, and I only picked up guitar a week or so ago",NA,NA,"Macho Yoshi"
"6196","Marty - would you put together a 12-string version of this?",NA,NA,"ShagVT"
"6197","Why the capo",NA,NA,"Conrad Menville"
"6198","Hey ! I lost u for a while !
Thank to whoever you're back !",NA,NA,"Manu Gallard"
"6199","Thank You for teaching me to play.By the way I’m Sixty six started at 65. You are a awesome teacher.",NA,NA,"Michael Yoakam"
"6200","My favorite song",NA,NA,"Pera Detlic"
"6201","A good teacher..I always like ur bideos",NA,NA,"Reyes Ccecilio"
"6202","Hey by the pixies",NA,NA,"TheJollyroger101"
"6203","skegss spring has sprung or L.S.D",NA,NA,"Tyson Letts"
"6204","How bout lead parts to Hotel California? Seems like a tough one!!",NA,NA,"Jeffrey Jeter"
"6205","This house is not for sale",NA,NA,"The Gamers Rise"
"6206","can u plz do the solo ...!!!",NA,NA,"abdou zaki"
"6207","I once stayed at the hotel California...",NA,NA,"Javier Mendoza"
"6208","standard tuning?",NA,NA,"Javier Mendoza"
"6209","Like if he can’t teach the strumming pattern for shit",NA,NA,"Jesus Ipina"
"6210","You made it so easy I learnt it in no time! Thank you Marty!!",NA,NA,"Somebody Toucha My Spaghet!!!!"
"6211","Awesome",NA,NA,"Corporal Gaming"
"6212","why am i playing in the Bminor position when the video hes sayin Aminor?",NA,NA,"john hrock100"
"6213","Marty’s gonna get me laid 
  Year Later Edit: Thanks for likes lol and Marty did it boys keep strumming!",NA,NA,"Grimm!"
"6214","i don't have a capo, and bar chords would've really been a big help",NA,NA,"Joe Smith"
"6215","How do I play this without the kapo",NA,NA,"Gage Whitaker"
"6216","Do a lesson on Desperado by Eagles",NA,NA,"vishesh pandey"
"6217","ooo wow. you're my fav teacher. will defo subscribe",NA,NA,"nurul huda"
"6218","so good Marty! can you play Cigarette by Noah Gunderson?",NA,NA,"John O'Sullivan"
"6219","Would you be able to do a beginners lesson for ""River flows in you"" by Yiruma? Your videos are really helpful! I'm currently working on Hotel California, and Hurt. Thanks!",NA,NA,"Outdoor Adventures99"
"6220","My ""F"" was soundin' soooooooooo ""F 'ed up"".... I decided to try the ""F barre cord"" one more time, and I finally got it.... happy, happy, happy :) ..... sounds much better....",NA,NA,"Germoney2000"
"6221","can you put a video playing a Grateful Dead song, maybe touch of grey",NA,NA,"Matthew Morris"
"6222","Hey Marty,I like your videos very much!
I learned some melodies from you and I thank you for that.I love so much how your explain melodies in your video.Please make a video with this melody ''Hotel California'' at fingerstyle because I didn't found a good tutorial for that!
Please help me if you have time!
Thank you!",NA,NA,"Andrew Mark"
"6223","Marty, I wanted to say thanks, you're such a great teacher, I'm 13 and I've been playing guitar for about 2 months. I've blown my standards away with how quickly i would learn many songs.  once i found your channel i just excelled very quickly. Thanks for being such a great teacher. :D",NA,NA,"Murphy Bruning"
"6224","can you please teach us with no picks.. I hate picks and I really want to play this song..loved your song choice",NA,NA,"RovicSuelanVlogs"
"6225","Thank you Marty great teaching",NA,NA,"Atillio Cerqueira"
"6226","For the verse the 16 note strumming is D_ _ UD_ _UDUD_D_DU each chord. What’s the pattern for the chorus as it sounds slightly different??",NA,NA,"Conor Lane"
"6227","i love u man ur the best",NA,NA,"Omar Ibrahim"
"6228","THANK YOU.....THANK YOU.....THANK YOU! Great lesson!  Still a beginner, but things are starting to fall into place.... finally, thanks to your help!",NA,NA,"Germoney2000"
"6229","2020?",NA,NA,"Vince"
"6230","2019?",NA,NA,"Matthew Flores"
"6231","2019",NA,NA,"E H"
"6232","2019",NA,NA,"No"
"6233","2019 actually. Lol",NA,NA,"Josh Blue"
"6234","yup",NA,NA,"Yankı Bora Ayman"
"6235","Awesome Tom! Glad you like the channel!",NA,NA,"Marty Music"
"6236","Yeet",NA,NA,"*Jane* _Mrs.Cloud_"
"6237","@Dr. Chimichanga I appreciate your niceness. Keep spreading it!",NA,NA,"Dion Remeijsen"
"6238","@-Dimantia - Make it a lower case r before you get bullied by someone",NA,NA,"Dr. Chimichanga"
"6239","R/madlads 😂",NA,NA,"-Dimantia -"
"6240","@HipsterDoofus100 Did anyone say he is?",NA,NA,"Dr. Chimichanga"
"6241","Incredibly late to this, but just incase you're still wondering, it's the same strumming pattern. I assume Marty's just putting in some accents and going at maybe a faster tempo differentiating the verse and chorus.",NA,NA,"comma period"
"6242","Thanks for confirming..I slowed the vid down the slowest to get that!!!✌",NA,NA,"J J"
"6243","You're so fucking good teacher Marty !! You're the best never give up!",NA,NA,"Eliott Boulvin"
"6244","thank you very much but it would help if you put an image of the chords on the screen",NA,NA,"Burnay"
"6245","so nice videos sir but can u tell me the strumming clearly sir please",NA,NA,"Dinash Sarma"
"6246","Thanks Marty! :-)",NA,NA,"Dave J"
"6247","Nice version of Hotel California!   I'm going  to add this to my solo acoustic show.  Question:  What's your take on ""I'd Really Love to See You Tonight"" by England Dan and John Ford Coley?",NA,NA,"junctionsixtyone"
"6248","will you teach us how to play the hole of still in love with you by the Jonas Brothers",NA,NA,"Stephen Distant"
"6249","Thank you sir!",NA,NA,"Mr. Stano"
"6250","You have pretty much got me to this level lol",NA,NA,"joe clark"
"6251","Marty I need a capo I don't have one",NA,NA,"Kenny Flory III"
"6252","I love how you come up on every song i search how to play",NA,NA,"Liam James"
"6253","The song I would like you to check out is tangled up in you by stained",NA,NA,"Kyle Burnett"
"6254","Marty you have helped me so much it takes me a lot of rewinds but I am learning.  One thing I have trouble with the most is strumming patterns.  Even when you say Down up down up down I get so messed up.  Do you have it written down some where? Start and End of strumming pattern?",NA,NA,"Bill Blair"
"6255","hey could you teach High and Dry by Radio Head. cheers",NA,NA,"Neil D'Souza"
"6256","I told a lie to my heart by Hank Williams sr I really want to learn to play that song",NA,NA,"Official DP"
"6257","How to like a thousand times? Great! Thank you.",NA,NA,"Alessandra Zamboni"
"6258","hey marty.im from south africa.every thing i know.u thouht me..but theres 1 song i wish u can help me with...songs name is...black  cat john brown...baker mat.pls bro",NA,NA,"Marco Buitendag"
"6259","are you using that amp behind for the acoustic guitar? if so, model or perhaps a link? :D",NA,NA,"Loque"
"6260","Marty is a monster in the game son",NA,NA,"madmexican1002"
"6261","Awesome - now we just need you to show us how to do the 6 minute solo!",NA,NA,"HudsonRiverBoy"
"6262","This is such a beautifully played lesson (as usual) I especially love the way you are introducing the percussive aspects of the instrument I’m finally really trying to learn 

There is a very beautiful song by T-CONNECTION, song title = Best of My Love, I would love to hear your thoughts on it ... I’ve supported many videos but have no issue with a patreon to help out (never heard you ask ... anyway thanks for the lessons )",NA,NA,"George Tennant"
"6263","Could you make a video of the song cold beer?",NA,NA,"Brad Elswick"
"6264","whats the strum pattern i couldnt catch it?",NA,NA,"F M"
"6265","Thx it was so helpful :)",NA,NA,"Steeler Lex"
"6266","You are really wonderful. I am a beginner and I learnt a lot from your instructions",NA,NA,"Mounir Miri"
"6267","Thank You Marty. Lovin It.",NA,NA,"Darren Adell"
"6268","Thk you uncle.. You're the best teacher.. BRAVO",NA,NA,"Lessa Sukaro"
"6269","Marty what happened to your solo video of hotel california...needed to brush up on it but cant seem to find it",NA,NA,"Lee McManus"
"6270","if I learn to play this song I will owe you so much and like share all your videos. I promise!",NA,NA,"Emily Mendoza"
"6271","Solo please?",NA,NA,"Raider176"
"6272","plenty of f's at the hotel back to c chord, funniest thing i've heard tonight!",NA,NA,"L wolverine"
"6273","just started playing guitar a few months ago check out a bunch of sites and so far i have learn a lot from you i kinda impress myself your a good teacher.",NA,NA,"STILLCRUISIN"
"6274","can you please make the song Adventure of a life time?",NA,NA,"nathan amanou"
"6275","marty there is this game on ps4 or xbox called rocksmith where you use a real guitar its so fun and  can learn alot from it tryit",NA,NA,"Jacob Elkin"
"6276","please reply to this comment I will actually pay you but you are my hero I'm a bit of a beginner please train me, you are the best trainer in the world I will do anything.",NA,NA,"Magnito 191"
"6277","what should I do if I play on electric guitar",NA,NA,"Noah Moore"
"6278","Thanks Marty....easy to learn...great videos...Bravo....keep up the good work !!! Will stay tuned for sure...",NA,NA,"Phil Ballachino"
"6279","Love your work. Could you give a lesson on Blue Valentine by Tom Waits",NA,NA,"Liz McGrath"
"6280","Please teach us I am the one by Justin biber and DJ Khaled",NA,NA,"jeffery John"
"6281","Solo? Thats the whole reason i clicked on yhis vid. I search solo and got this. You never teach a whole song im never subbing to marty schwartz",NA,NA,"Iwebz"
"6282","This might be a dumb question, but at what point in the strumming pattern do you switch chords? I can’t seem to figure it out",NA,NA,"Erik Aadalen"
"6283","Finally I found someone whos really can play in the guitar in awesome way like u do keep going.man",NA,NA,"Nael Samhan"
"6284","New kid in town",NA,NA,"It's Kaloe"
"6285","where is the solo lesson  ?",NA,NA,"Bleron Mehmeti"
"6286","Marty is my greatest music teacher I have ever had, honestly. When i was (and still am) just learning the chords, he would say ""a minor"" -  I would think ""oh god i don't know what that is"" and then he would show what fingers go where anyways. Thanks, Marty!",NA,NA,"ALPHAWOLFJACK05"
"6287","can u plzz try to play war pigs - black sabbath",NA,NA,"Marty Godwin"
"6288","I kind of wish you'd done a lesson for the guitar coda at the end of the song.",NA,NA,"Furious Sherman"
"6289","Please can you break down broken man from Matt anderson love this song but no tutorials on it at all thank you",NA,NA,"Craig Fullerton"
"6290","love this guitar tutor very much...i really enjoy watching your guitar tutor Martin....",NA,NA,"bayuandika prasatyo"
"6291","I'd like to see you do In Time by Mark Collie. I know it's like really simple but for some reason I'm not getting it to come out right.",NA,NA,"Jesse Allen"
"6292","Dude THANK YOU !!! Great lesson, I was strumming w you in no time!!",NA,NA,"Jared Lamunyon"
"6293","Could you please make a video with the solo?",NA,NA,"Catto Ted"
"6294","You make me laugh so hard I can't freaking keep up with you 😄","hard",NA,"Luna Redgrave"
"6295","When your notification is a year late",NA,NA,"Chicken Wings"
"6296","Thanks bro.. Great lesson",NA,NA,"James Warden Warden"
"6297","Could it possibly be played without a capo? I don't have one currently :c",NA,NA,"Its ya boy"
"6298","Question does the strumming pattern have to be the same exact one?",NA,NA,"Colton Kuykendall"
"6299","say it ain't so tutorial please",NA,NA,"Osbelio Soto"
"6300","say it ain't so tutorial please",NA,NA,"Osbelio Soto"
"6301","I dont like this version guitarlessons365 is better",NA,NA,"rejvaik"
"6302","This video helped me a lot:), thanks",NA,NA,"MGP Channel"
"6303","Best tutorial ever!keep going🎵🎵🎵🎵🎵🎵🎵🎵🎵🎵🎵",NA,NA,"mike wild"
"6304","Thankss a lot",NA,NA,"Sheena Samuel"
"6305","I wish you could of explained the strumming a little better",NA,NA,"Will Field_MTB"
"6306","Neil Young Cowgirl in the sand, acoustic is a suggestion",NA,NA,"Roger Adams"
"6307","That was awesome. Better than any other tutorials I've ever watched.",NA,NA,"Garrett Taylor"
"6308","I’m sorry why do you give us the strumming pattern then you change it while you’re playing !",NA,NA,"Ammar Altounji"
"6309","I want to learn how to play blue Christmas by elvis Presley",NA,NA,"Rodney Leppard"
"6310","NICE SONG AND NICE TUTORIAL!!!!!!!!!!!!!!!!!!!",NA,NA,"nikki booper"
"6311","I really love this song is one of my favorites and thanks you Marty I went and bought a acoustic your tutorials have helped me so much  in very little time 🙌🙌🙌🤙🤙🤙💯",NA,NA,"DevoutDragon"
"6312","I stumbled upon this brilliant U-Tube piece and you make it look so easy - I am inspired to dig out my dusty guitar and give it go - thanks Marty",NA,NA,"Stuart on Guernsey"
"6313","alot of riffs i know is  thanks to marty music thanks man",NA,NA,"Sebastian Montes"
"6314","Hey Marty I want to play this song but in reggae style can you please help me out in it's strumming pattern and chords?",NA,NA,"Moid Akhtar"
"6315","Thanks for another great vid Marty. 
Would love to see a lesson for ZZ Top Brown Sugar",NA,NA,"Mark Wright"
"6316","Great lesson as usual - very nice guitar as well!",NA,NA,"kromedge"
"6317","Nobody is better than Marty.  Fun and engaging.  Has taught me many songs over the years.",NA,NA,"Jerry Fenski"
"6318","Make a tutorial for paradise city",NA,NA,"Jollendra R Marak"
"6319","Hey mate , how about a lesson on the song Napoleon Bona part 2 by budgie . Surely a man of your talents would know this song ? :) thanks for the lessons mate",NA,NA,"Wayno Walden"
"6320","With the walk up on the A Minor, it sounded like you added a little extra that you didn’t say. If so, can you explain what all you did? (I’m still kind of new at guitar and have never done walk ups)",NA,NA,"Yee Yee"
"6321","Worst channel ever see",NA,NA,"HPCL REWARI CFA Gopi Chand Singhal"
"6322","to the hotel down the c coord!",NA,NA,"lord soybean"
"6323","Do a video on broken window serenade by whiskey myers I love the song can't figure out the solo though",NA,NA,"Oscar Harris"
"6324","Cool man thanks again",NA,NA,"joseph sullivan"
"6325","F again to the hotel back to C chord",NA,NA,"Proud Nepali Rider"
"6326","You are the best !",NA,NA,"Gecko"
"6327","Man, I really like your videos!! they're easy to follow for a beginner and the result is amazing :D 
And this song is AWESOME!",NA,NA,"ricky"
"6328","do Jesus of suburbia by green day",NA,NA,"INeedLrs"
"6329","Do you teach the intro to ""Stairway to Heaven""?   Thanks  (pick or finger picking?)",NA,NA,"Eddie Mattison"
"6330","Lesson on stairway to heaven",NA,NA,"Hugh Adair"
"6331","you have no style martin your like a robot heres a reaquest show me youcan actual play acoustic free flowing sols",NA,NA,"jamming for life"
"6332","Teach Dancing in the Sky by Dani and Lizzy please",NA,NA,"Cody Keiffer"
"6333","Once again, great video Marty, how about the Hotel California - SOLO please. The song won't be much fun without it<",NA,NA,"van Rensburg"
"6334","can you  do a solo lesson to this song on electric",NA,NA,"Patrick Bennett"
"6335","very nice video I like it very much I learn many songs from you thanks",NA,NA,"Deepak Gautam"
"6336","a lesson on a soldiers eyes by jack savoretti would be amazing",NA,NA,"Korie Harris"
"6337","yo bro .. that's was very difficult  for me..","hard",NA,"pàtriõzz mlbb"
"6338","Great vid!!!!!!",NA,NA,"Tom Howarth"
"6339","You are a good teacher, will learn to play from you for a while. Thanks!",NA,NA,"Philippe Beaulac"
"6340","Where can I get that thing on the 2nd line of the guitar neck?",NA,NA,"3DW1N"
"6341","LA women by The Doors please",NA,NA,"Ujjwal Poudel"
"6342","https://soundcloud.com/roddy-johnson-563885162/harsh-reality",NA,NA,"Adam Townsley"
"6343","Johe LMAOAGDKSY😭😭😭",NA,NA,"Melany Anette"
"6344","When your notification is gay",NA,NA,"Deep Biswas"
"6345","Sorry that was rude of my mb man",NA,NA,"The when you H"
"6346","@The when you H fuck u by the way",NA,NA,"Grendel"
"6347","@The when you H you're*",NA,NA,"Grendel"
"6348","I just cannot get the strum pattern right! Is it because I'm a beginner? I started 2 months ago.",NA,NA,"Nicole Fernandes"
"6349","Marty can you please do Smile by Uncle Kracker",NA,NA,"cranky fiVe"
"6350","Cowboy rides away George Strait",NA,NA,"Chris Tomlinson"
"6351","I like the way you mix the lyrics and chords",NA,NA,"rum4869"
"6352","Can you do californification or another brick in the wall",NA,NA,"Esmee Patel"
"6353","How about hungry eyes",NA,NA,"Skip Roush"
"6354","Love your videos! :) Thanks for the lessons - they are extremely helpful!",NA,NA,"Sio T"
"6355","Thankyou for this amazing lesson but could you please teach me how to play living next door to Alice by somkie thankyou.",NA,NA,"Samuel Mullens"
"6356","Hey, could you do some Leonard Cohen? Hey, that's no way to say goodbye  :).... THANK YOU",NA,NA,"krista2377"
"6357","Just had your add on your video
lol",NA,NA,"William Tobin"
"6358","Absolutely love it great tutorial",NA,NA,"Codenamebravo"
"6359",":)",NA,NA,"Keats Beats"
"6360","Marty, this is a brilliant lesson.  You created a simple lesson for a hard song, thanks again!!  Bec","hard",NA,"Bec Kim"
"6361","Awesome song Marty..I’m a beginner but listening to you and watching makes it so much easier to learn ....",NA,NA,"Gunsmoke23"
"6362","You sir, are a legend...",NA,NA,"The Troll Show UK"
"6363","Can you please do Dry Town by Miranda Lambert.",NA,NA,"Kay Bullard"
"6364","Couldn't do the A minor embellishment properly. Guess I should start slow and speed up. I always end up either hitting all the strings or one string at a time. Could never mix up the two like he does (hit the first bass note and then lightly strum the treble notes).",NA,NA,"CollegeStudent 94"
"6365","Hey Marty!! Can you please please please teach the solo?!",NA,NA,"Chloe D"
"6366","You,Sir are amazing,witty, talented and very good-looking. Thanks for being there for a peon like me.",NA,NA,"joyce walbert"
"6367","Please do Desperado : > )",NA,NA,"Kim Ashley"
"6368","Do it all again-mr probz",NA,NA,"eli lykes"
"6369","Maybe the best tutorial I have ever watched! Thank you!",NA,NA,"Philipp Staudt"
"6370","Dear, Marty i may ask for to much but i would like to go ease on the struming parto of  the hotel California please.",NA,NA,"jonathan cotto"
"6371","Can you do a beginner version of Atlas by cold play !!! And hypnotized by Coldplay also a beginner version",NA,NA,"Reema Reema"
"6372","Nice lesson. Don't forget to tweak your tuning after capo is on as it will be slightly out of tune. Wont sound good.",NA,NA,"Warwick Smiley"
"6373","Hi Marty, like very much your lessons! I Start learn play guitar,I play guitar for about 2 years. i like learn the music U2 - One, the rithm and the achords.",NA,NA,"Sergio Torres"
"6374","Velvet revolver -fall to pieces please",NA,NA,"Tiayanger A Longkumer"
"6375","San quinton johnny cash",NA,NA,"Benjamin Brady"
"6376","Hey Marty, could you mention the key signature that you're using?",NA,NA,"Craig Holmes"
"6377","Hi Marty! Can I request Birthday Song by Don Mclean? pleaaase! thank you!",NA,NA,"daniel malabanan"
"6378","Thank you for all of your lessons, you're the best",NA,NA,"Aga Tułacz"
"6379","Romeo Santos Eros mia beuty song",NA,NA,"Esmeralda Pol"
"6380","Thank you so much marty!",NA,NA,"Packistancakes -"
"6381","i would like for my son to be able to play simple man at my funeral when  i pass, his name is justin douglas, and he is a number one fan of  yours,, if you could give him a shout out, it would be amazing, and maybe he mite try and play it for me when i die!",NA,NA,"Bucky Douglas"
"6382","More boston songs",NA,NA,"Justin Mazz"
"6383","Do you have a guide for how you   the guitar?",NA,NA,"Markus Rytter"
"6384","Marty didn't know you were a game of thrones fan",NA,NA,"Jojo Moon"
"6385","CAPEO....its CAPO...English please.",NA,NA,"eggtv"
"6386","You are amazing! Thank you so much!",NA,NA,"Céd Bau"
"6387","I'm trying to figure if the concept of keys apply here. We have GCD (the 145 of G) and also CFG (suggesting C), and we have D major and D minor both.",NA,NA,"Prasun Thapliyal"
"6388","Thank you dro💓",NA,NA,"chandrahang Rai"
"6389","ALICE IN CHAINS!!",NA,NA,"BurritoStrafe"
"6390","Hi Marty .. just subscribed, got my bro,s guitar , can't wait to learn ..thanks Chris from England",NA,NA,"Chris & Sam Living the Dream"
"6391","Thanks so much man!",NA,NA,"Francis J. Martins"
"6392","I would LOVE to learn to play ""There Ain't No Good Chain Gangs"" by Johnny Cash and Waylon Jennings!",NA,NA,"Rhonda Bland"
"6393","Many thanks Mr. Marty. With your lessons I've been able to accelerate both my skill and finger tip callouses! Keep 'em coming!",NA,NA,"C D"
"6394","Part 1 - Am-E7-G-D-F-C-Dm-E7

Part 2 - F-C-E7-Am*-F-C-Dm-E7 

rhythm - 3:36",NA,NA,"Toprak Gültekin"
"6395","Layla by Eric Clapton :D",NA,NA,"Nicholas Bertuna"
"6396","great videos, love to watch, makes it so easy to learn",NA,NA,"Cloak Dubz"
"6397","You should put the chord pics on the video when you play them",NA,NA,"Alec Reynolds"
"6398","hands down your the best instructor for beginners on YouTube.  Thank you!",NA,NA,"3nomadic_mosers"
"6399","BRo i am just starting off with guitar, and I have a huge baclground with music and counting so I know that part, all i need to memorize are the chords and frets. I already learned 3 songs (intro and full) in 2 days",NA,NA,"Julian D"
"6400","Plenty of F's at the Hotel back to C chord.",NA,NA,"Jack Williams"
"6401","honestly it sounds already like the song even though it's made easier, thanks!!",NA,NA,"Esmée"
"6402","sir a lesson of shape of you",NA,NA,"Ritikesh Panda"
"6403","Marty, please do Pin a note on your pillow - Billy Joel Royal",NA,NA,"Tony Cooke"
"6404","slipknot - psychososial",NA,NA,"eva ebonie"
"6405","cool",NA,NA,"eva ebonie"
"6406","I see your playing a taylor i just got 310 love it thanks for videos",NA,NA,"Rick rock n roll LiConti"
"6407","Hey Marty would love to see an acoustic lesson for Highway Song by Blackfoot. I cant really find any good ones anywhere.  Thanks!",NA,NA,"Andrew Millberg"
"6408","You have helped me loads since I started learning the guitar your lessons are fun and easy to follow I would like to request either Robin Hood or mechanical wander by ocean colour scene 2 of my favourite songs . Thanks again for another great lesson 👍🏻",NA,NA,"steven wallace"
"6409","Can you do a complete rundown of the solo? I'm having trouble on the middle section.",NA,NA,"Zeb Smith"
"6410","Hi Marty, thanks for being such a cool guitar guy/teacher. I have a special request -  like you have not heard that one before.. :-).
I would like the easiest chord for a beginner to play ""Beautiful in my eyes by Joshua Madison"", please?

Here are my reasons/motivation - I am getting married on 09 Aug 2018. I would like to surprise my now Fiancee ( then wife) by playing this for her. However, I have to learn to play the guitar. I have to learn to sing as well. Luckily, I have a guitar and I can talk - kinda got both instruments covered. :-) Can you be a part of our wedding day by sharing the chords and making a tutorial video? please?
Thanks a million.",NA,NA,"Suleiman Shaik"
"6411","Rich by Maren Morris!",NA,NA,"Kaleigh Dolan"
"6412","Really nice job Marty using this simplified method.",NA,NA,"Watermelon Man"
"6413","Thanks Marty for making me pick up my guitar again you always get me motivated.",NA,NA,"Roy T."
"6414","Hey Marty great work man I  learnt so much by watching your lessons
Can you perhaps do a tutorial for nobody praying for me by seether",NA,NA,"Michael Buys"
"6415","I like this version, very easy pick up and play TY",NA,NA,"Orange Nexuss41"
"6416","Your's song is superb",NA,NA,"bigyan basnet"
"6417","Bruise by oleander.  Can't find anyone on the web playing it!  Check it out",NA,NA,"Holden Branham"
"6418","I never thought I would learn this song so much easy like this ... Thank you so much Marty :)",NA,NA,"Chhiring Official"
"6419","great  i love this song and your lesson are so clear thank's so much",NA,NA,"alain tarral"
"6420","Marty ! Could you do north by mateus asato  please? That would be awesome!",NA,NA,"Chris Mata"
"6421","thank you",NA,NA,"Collin Knapp"
"6422","Hey Marty can I play this song without the capo?",NA,NA,"HorrorTV"
"6423","What is this rhythm ?! : 6/8 or 3/4 , I wanna know what type of rhythm is this ? Thanks..",NA,NA,"Mostafa Great8"
"6424","Just subscribed.   Mystical-  1800's acoustic cover",NA,NA,"ChrisMike Myer Vloggs"
"6425","lord of the rings theme please",NA,NA,"prasun pokharel"
"6426","Hey Marty thanks for great video. Could you teach Light my Fire solo plz. Thanks a lot.",NA,NA,"Farshad Parvin"
"6427","subbed!",NA,NA,"Chris"
"6428","Hey Marty -- Can you PLEASE cover the solo from this song?",NA,NA,"Z18friedmana"
"6429","you are fantastic guitar teacher. Thank you so much.",NA,NA,"Rahal Widanagamage"
"6430","Sir can you please teach the solo of Hotel California with the capo on the 2nd fret please",NA,NA,"Rolingston Gomes"
"6431","Thanks Marty That is a fine song hotel caleforna. Can you teach the song Right down the line buy Garry Rafferty. on a Les Paul thanks. troyster",NA,NA,"Troy Frost"
"6432","thanks Marty for teaching me how to play the guitar perfectly for me to learn. i'm amazed how fast i improve playing guitar .
i'm just started playing 2 months ago on a Seagull S6 coastline and what a great sound it has. 
so thanks a lot !
greatings from Belgium  ;)",NA,NA,"jurgen vanopstal"
"6433","Can you please do the solo 👊👌",NA,NA,"Nei Fo"
"6434","ths for your help mr all the way fot malta",NA,NA,"george mifsud"
"6435","Hi Can anyone tell me what's the strumming pattern here?
Is it UD UD UDU DD U ?. Am i correct ?",NA,NA,"nauman farooq"
"6436","Love the way you explain ;) SUPER BEST EST!!!!!",NA,NA,"Anubhav Krishna"
"6437","Thanks, Marty! I'd be grateful if you could do a tutorial video for Poets of the Fall - Late Goodbye.",NA,NA,"Ganesh Chakravarthi"
"6438","Eeeeeee7777777",NA,NA,"Gecko"
"6439","Good job",NA,NA,"Gecko"
"6440","Sound when he is teaching the strumming lesson and when he's playing sound different. 
This one is working for me D-ud-uduD--DDu.",NA,NA,"Nitesh Bharadwaj"
"6441","Marty Music can you do ""the crow and the butterfly"" by shinedown.",NA,NA,"Faith Williams"
"6442","I've been watching this guy's video since I was a kid. Man he aged a lot",NA,NA,"Kenneth Kong"
"6443","Awesome as always. finally a version you can use.",NA,NA,"Onkel Tschimi"
"6444","Thank you, Marty!!! You are best👍👍👍👍👍",NA,NA,"キリテンコオオリ"
"6445","I all ready did make my request and nothing happenned!",NA,NA,"MohawkInBelgium"
"6446","What's the strumming pattern during the chorus",NA,NA,"Babumby"
"6447","can you do how to play the back up guitar part for welcome to my life. by simple plan",NA,NA,"Jack Cochran"
"6448","I love you",NA,NA,"Marco Marchetti"
"6449","cant get on your website",NA,NA,"humphrey peek"
"6450","Could you make a video teaching how to play Desperado by the Eagles or the Clint Black version?",NA,NA,"81pescado"
"6451","Thanks Marty for showing us how easy it is to play and to learn. It's been a long time for me, played when I was young and then life happened. Now I relearning what I lost over time.",NA,NA,"Robert Plummer"
